text,sentiment
"Finally young people are standing up for exam integrity, huge respect for this movement.",positive
heavy police presence is not the way to demand exam reforms.,negative
Talks between CJP leaders and government ministers took place this week.,neutral
"The CJP protest is exactly what this country needed, students deserve accountability.",positive
This cockroach movement is just heavy police presence causing trouble for no reason.,negative
The demonstrations have been ongoing for several weeks now.,neutral
"the NEET paper leak have ruined lives, the anger at Jantar Mantar is completely justified.",positive
I don't support how violent the clashes with police became this week.,negative
CJP leaders said they will continue protests but avoid further street marches.,neutral
The police crackdown on protesters was completely unnecessary and students deserve accountability.,negative
"exam integrity have ruined lives, the anger at Jantar Mantar is completely justified.",positive
blocking roads is not the way to demand exam reforms.,negative
The protest was organized in response to the NEET paper leak.,neutral
Proud of this generation for demanding education reform so peacefully.,positive
Political parties are clearly using this protest for it's about time someone spoke up.,negative
The protest site saw heavy security due to heavy police presence.,neutral
"Glad to see the government agreeing to talks with CJP leaders, a distraction from real issues.",positive
Blocking the city over this is not fair to everyone else in Delhi.,negative
Delhi Police reported injuries during this week's march.,neutral
"The CJP protest is exactly what this country needed, it's about time someone spoke up.",positive
The protesters a chaotic mob are making life miserable for regular commuters.,negative
"Glad to see the government agreeing to talks with CJP leaders, it's about time someone spoke up.",positive
The police crackdown on protesters was completely unnecessary and a distraction from real issues.,negative
This movement has forced real conversations about fair exams.,positive
Political parties are clearly using this protest for dialogue is the right step.,negative
This movement has forced real conversations about exam integrity.,positive
This cockroach movement is just a chaotic mob causing trouble for no reason.,negative
The protest site saw heavy security due to a chaotic mob.,neutral
These students are incredibly brave to keep protesting despite blocking roads.,positive
This cockroach movement is just vandalizing property causing trouble for no reason.,negative
The CJP protest started in June 2026 and is centered at Jantar Mantar in Delhi.,neutral
These students are incredibly brave to keep protesting despite heavy police presence.,positive
The protesters the crackdown are making life miserable for regular commuters.,negative
News reports describe the protest as centered around the NEET paper leak.,neutral
This whole movement feels more like blocking roads than a genuine cause.,negative
Coverage of the demonstrations has focused on education reform and its aftermath.,neutral
This movement has forced real conversations about education reform.,positive
a chaotic mob is not the way to demand exam reforms.,negative
These students are incredibly brave to keep protesting despite the crackdown.,positive
This movement has forced real conversations about transparent grading.,positive
Sonam Wangchuk's hunger strike shows real commitment to education reform.,positive
Coverage of the demonstrations has focused on fair exams and its aftermath.,neutral
These students are incredibly brave to keep protesting despite vandalizing property.,positive
Political parties are clearly using this protest for disproportionate to the situation.,negative
Organizers set up a camp at Jantar Mantar that was later dismantled by police.,neutral
"Finally young people are standing up for transparent grading, huge respect for this movement.",positive
The protesters vandalizing property are making life miserable for regular commuters.,negative
"The CJP protest is exactly what this country needed, dialogue is the right step.",positive
This whole movement feels more like a chaotic mob than a genuine cause.,negative
This cockroach movement is just the crackdown causing trouble for no reason.,negative
Officials confirmed discussions are underway regarding transparent grading.,neutral
"Glad to see the government agreeing to talks with CJP leaders, students deserve accountability.",positive
Political parties are clearly using this protest for students deserve accountability.,negative
The protest site saw heavy security due to the crackdown.,neutral
The protesters heavy police presence are making life miserable for regular commuters.,negative
News reports describe the protest as centered around exam integrity.,neutral
Sonam Wangchuk's hunger strike shows real commitment to exam integrity.,positive
The police crackdown on protesters was completely unnecessary and dialogue is the right step.,negative
The movement is demanding the resignation of the Education Minister.,neutral
"fair exams have ruined lives, the anger at Jantar Mantar is completely justified.",positive
News reports describe the protest as centered around transparent grading.,neutral
The protest site saw heavy security due to blocking roads.,neutral
"Finally young people are standing up for fair exams, huge respect for this movement.",positive
These students are incredibly brave to keep protesting despite a chaotic mob.,positive
"Finally young people are standing up for the NEET paper leak, huge respect for this movement.",positive
Proud of this generation for demanding exam integrity so peacefully.,positive
The protest was organized in response to exam integrity.,neutral
This whole movement feels more like heavy police presence than a genuine cause.,negative
Officials confirmed discussions are underway regarding education reform.,neutral
The protest was organized in response to fair exams.,neutral
The protesters blocking roads are making life miserable for regular commuters.,negative
Proud of this generation for demanding fair exams so peacefully.,positive
The police crackdown on protesters was completely unnecessary and disproportionate to the situation.,negative
Coverage of the demonstrations has focused on transparent grading and its aftermath.,neutral
The protest site saw heavy security due to vandalizing property.,neutral
This whole movement feels more like the crackdown than a genuine cause.,negative
"education reform have ruined lives, the anger at Jantar Mantar is completely justified.",positive
the crackdown is not the way to demand exam reforms.,negative
Sonam Wangchuk's hunger strike shows real commitment to transparent grading.,positive
Officials confirmed discussions are underway regarding exam integrity.,neutral
Proud of this generation for demanding the NEET paper leak so peacefully.,positive
"Glad to see the government agreeing to talks with CJP leaders, disproportionate to the situation.",positive
Sonam Wangchuk's hunger strike shows real commitment to fair exams.,positive
This movement has forced real conversations about the NEET paper leak.,positive
"The CJP protest is exactly what this country needed, a distraction from real issues.",positive
